class,class_str,count,percentage,avg_energy,std_energy,avg_ca_distance,std_ca_distance,chi1_mean,chi1_std,chi2_mean,chi2_std,chi3_mean,chi3_std,chi4_mean,chi4_std,chi5_mean,chi5_std
02022,-+-++,1146,0.6538222356612676,4.3924701409731295,3.1112378643152256,5.5639451183094515,0.8766448701120801,-153.0234841330892,39.22971602333285,131.71338686475193,40.24125101002113,-84.44328682377875,30.337006904107522,154.29936480334675,32.25035821056461,141.68557222822417,52.32497581078128
02020,-+-+-,3154,1.7994374618461064,4.840424932812233,3.7097907680095425,5.824176708690829,5.308022519781627,-151.62788586156307,42.891835496066776,129.24966202136835,47.94547784301807,-99.68419191278403,27.497323897957646,139.80175204995962,45.754463812366716,-146.47759115616984,47.819449072040506
02002,-+--+,8044,4.589307210871934,3.4114156906613204,2.579493742983246,6.261454378705312,1.1780257191983223,-149.6495326030849,40.089688328510334,154.0241677121919,42.03817299636523,-88.12101868738341,20.800304706020135,-149.39168685307536,28.367855362080554,139.57227722376962,50.955432326864205
02000,-+---,7104,4.053013230486601,4.080513535334985,3.020518597327794,5.888388172783477,2.44397351769019,-147.528792425071,45.05974263532279,132.13516612574685,45.2106534086711,-96.2180064227671,26.29297297595858,-118.58162090937941,49.24855512110965,-94.98275743450425,54.23504326956698
00222,--+++,6658,3.798558852559092,3.5816539971215366,2.543084112363948,5.24556328553986,0.6769797003993838,-68.32921637672607,27.65616786853327,-74.48911562788129,33.49867909479357,97.25923459623255,21.060016460877186,103.34582942717942,33.7287965232093,84.18517300187693,49.23165990756887
00220,--++-,7238,4.1294636489670635,4.3711704303246055,2.6698328884967033,5.467465321350638,2.30180929503382,-73.29880689224336,38.50478291581162,-97.31085742701299,42.28908660151844,98.74325772890217,25.468027419491587,93.85591498574611,37.53059688766098,-112.9807966182632,48.29029012736508
00202,--+-+,1396,0.7964536134233242,4.862390194699547,2.876641130791427,5.156860115212409,0.9905239767667346,-72.08181857985095,38.895523343987655,-100.45645166019852,35.916768895744475,94.39008574376618,31.357276283326375,-148.49853967146166,36.609895450448825,73.64429432776299,42.26989389817681
00200,--+--,16146,9.211704901384666,4.487362359968371,1.5425442342651678,4.26803636709185,1.7460722394360015,-62.10365242412308,21.18669059449783,-96.28896510196088,23.939863317942457,105.35329458943247,14.23307235830778,-93.7266178101147,23.732434606323952,-60.42031678661323,17.66047603074432
00022,---++,2426,1.3840948898029974,4.1564209882286525,2.7830442198314316,5.52899501295269,1.043970602023927,-68.14312750566154,32.82216194643166,-77.00888365385764,35.444785768294466,-98.08749058932828,25.996995234213045,128.06560630532886,35.50600843060331,83.96278898689333,53.31730529354013
00020,---+-,4844,2.7636255755176093,4.9740432111696755,3.0855285710680596,5.495768699601818,2.753888494060513,-72.18956054522955,36.21391446488473,-75.92912742989385,42.56405470235719,-95.19745692691654,30.693863367102576,127.59754003441705,43.9271096049897,-109.67991862432628,48.55668165746644
00002,----+,9391,5.357805074253895,3.4611187071358707,1.9712842127492665,6.175959613870426,0.5655987726091227,-79.2333982044711,36.40070691240415,-102.5826999727479,50.90447350719632,-86.24424361442925,16.5058459507103,-119.37129824893651,34.656080588259044,109.12168522767233,52.419155401769316
00000,-----,40943,23.35902599884754,2.7354052888142797,1.913324485850345,5.795320919887935,1.5192026445662863,-74.69214385600907,36.911727589619254,-74.26845686544296,32.81354021163241,-86.08271581838518,15.609912974812893,-77.22478404613517,30.420832124609856,-73.46218931659993,38.350146689852984
